Wall time,Step,Value
1544285175.844429,32.0,14.699999809265137
1544285176.097216,64.0,24.700000762939453
1544285176.36161,96.0,30.899999618530273
1544285176.6140594,128.0,35.900001525878906
1544285176.8646004,160.0,39.5
1544285177.1323051,192.0,41.099998474121094
1544285177.3829088,224.0,43.099998474121094
1544285177.6376035,256.0,44.0
1544285177.8963773,288.0,43.900001525878906
1544285178.1561131,320.0,43.900001525878906
1544285178.4178717,352.0,44.0
1544285178.671655,384.0,44.29999923706055
1544285178.9215364,416.0,44.400001525878906
1544285179.187786,448.0,44.29999923706055
1544285179.4514513,480.0,44.400001525878906
1544285179.7109594,512.0,44.5
1544285179.9667237,544.0,44.5
1544285180.2271,576.0,44.599998474121094
1544285180.4831884,608.0,44.599998474121094
1544285180.737366,640.0,44.79999923706055
1544285180.9998085,672.0,44.900001525878906
1544285181.2529411,704.0,44.70000076293945
1544285181.5078826,736.0,44.70000076293945
1544285181.7593873,768.0,44.79999923706055
1544285182.017777,800.0,44.79999923706055
1544285182.2733264,832.0,44.900001525878906
1544285182.5317307,864.0,44.900001525878906
1544285182.7907288,896.0,45.0
1544285183.0569675,928.0,45.0
1544285183.3175838,960.0,45.0
1544285183.5679991,992.0,44.900001525878906
1544285183.8200297,1024.0,45.0
1544285184.0813887,1056.0,44.900001525878906
1544285184.3366096,1088.0,45.099998474121094
1544285184.5851886,1120.0,45.400001525878906
1544285184.8372898,1152.0,45.29999923706055
1544285185.0997791,1184.0,45.400001525878906
1544285185.3572626,1216.0,45.29999923706055
1544285185.6141593,1248.0,45.20000076293945
1544285185.873116,1280.0,45.5
1544285186.1318834,1312.0,45.20000076293945
1544285186.3938117,1344.0,45.29999923706055
1544285186.6512597,1376.0,45.29999923706055
1544285186.91616,1408.0,45.5
1544285187.1642933,1440.0,45.599998474121094
1544285187.4217536,1472.0,45.900001525878906
1544285187.6863818,1504.0,45.900001525878906
1544285187.9413915,1536.0,46.0
1544285188.209329,1568.0,46.099998474121094
1544285188.4604957,1600.0,46.0
