Wall time,Step,Value
1544381356.2512147,313.0,66.62999725341797
1544381363.5769532,626.0,78.26000213623047
1544381370.8482585,939.0,83.33999633789062
1544381378.123186,1252.0,85.88999938964844
1544381385.4210734,1565.0,88.08000183105469
1544381392.695489,1878.0,89.1500015258789
1544381399.987804,2191.0,90.25
1544381407.2954903,2504.0,90.91000366210938
1544381414.612706,2817.0,91.47000122070312
1544381421.9246128,3130.0,91.70999908447266
1544381429.4708061,3443.0,92.25
1544381436.7727292,3756.0,92.7699966430664
1544381444.1359544,4069.0,92.98999786376953
1544381451.3904963,4382.0,93.12000274658203
1544381458.785736,4695.0,93.41999816894531
1544381466.1331205,5008.0,93.55000305175781
1544381473.3680975,5321.0,93.87999725341797
1544381480.5967183,5634.0,93.80999755859375
1544381488.0006828,5947.0,93.87999725341797
1544381495.2475858,6260.0,94.1500015258789
1544381502.5385404,6573.0,94.4000015258789
1544381509.8735929,6886.0,94.44000244140625
1544381517.0765274,7199.0,94.5
1544381524.3332713,7512.0,94.7300033569336
1544381531.6851377,7825.0,94.79000091552734
1544381538.8542438,8138.0,94.83999633789062
1544381546.1570516,8451.0,94.9000015258789
1544381553.4149237,8764.0,94.93000030517578
1544381560.7736108,9077.0,94.9800033569336
1544381568.1288967,9390.0,95.22000122070312
1544381575.5679762,9703.0,95.20999908447266
1544381582.9014666,10016.0,95.36000061035156
1544381590.3174188,10329.0,95.44000244140625
1544381597.5775871,10642.0,95.5
1544381604.8717916,10955.0,95.5
1544381612.1871455,11268.0,95.54000091552734
1544381619.483467,11581.0,95.56999969482422
1544381626.8303528,11894.0,95.7300033569336
1544381634.0972354,12207.0,95.80000305175781
1544381641.3711495,12520.0,95.68000030517578
1544381648.6484995,12833.0,95.87000274658203
1544381655.8517318,13146.0,95.87000274658203
1544381663.0935137,13459.0,96.05000305175781
1544381670.4019005,13772.0,96.05999755859375
1544381677.6576097,14085.0,96.11000061035156
1544381684.871376,14398.0,96.05999755859375
1544381692.2112114,14711.0,96.1500015258789
1544381699.3507745,15024.0,96.12999725341797
1544381706.6009765,15337.0,96.18000030517578
1544381714.0817246,15650.0,96.33000183105469
1544381721.2442293,15963.0,96.38999938964844
1544381728.479301,16276.0,96.29000091552734
1544381735.8347197,16589.0,96.30999755859375
1544381743.1405613,16902.0,96.41000366210938
1544381750.5723975,17215.0,96.41999816894531
1544381757.8115833,17528.0,96.30000305175781
1544381765.0685406,17841.0,96.5
1544381772.5085425,18154.0,96.36000061035156
1544381779.7705982,18467.0,96.45999908447266
1544381787.0983815,18780.0,96.58000183105469
1544381794.4544284,19093.0,96.66000366210938
1544381801.7495189,19406.0,96.5999984741211
1544381809.0561311,19719.0,96.62000274658203
1544381816.3962903,20032.0,96.6500015258789
1544381823.6785672,20345.0,96.66000366210938
1544381831.0314896,20658.0,96.68000030517578
1544381838.4999926,20971.0,96.7300033569336
1544381845.6729636,21284.0,96.7699966430664
1544381852.959733,21597.0,96.66000366210938
1544381860.2515023,21910.0,96.80999755859375
1544381867.5420313,22223.0,96.81999969482422
1544381874.8658724,22536.0,96.8499984741211
1544381882.0804958,22849.0,96.8499984741211
1544381889.3026252,23162.0,96.80000305175781
1544381896.6619773,23475.0,96.83000183105469
1544381903.9606981,23788.0,96.94999694824219
1544381911.175686,24101.0,96.79000091552734
1544381918.504637,24414.0,96.9000015258789
1544381925.8624005,24727.0,96.94000244140625
1544381933.2577488,25040.0,96.91999816894531
1544381940.5416033,25353.0,96.88999938964844
1544381947.8420477,25666.0,97.0
1544381955.2161732,25979.0,96.94000244140625
1544381962.5800083,26292.0,96.75
1544381969.7951643,26605.0,96.95999908447266
1544381977.1827254,26918.0,97.06999969482422
1544381984.3842056,27231.0,97.05999755859375
1544381991.7268944,27544.0,97.12999725341797
1544381999.0691307,27857.0,97.05000305175781
1544382006.3787587,28170.0,97.11000061035156
1544382013.6980412,28483.0,97.05000305175781
1544382020.9893987,28796.0,97.13999938964844
1544382028.2542248,29109.0,97.04000091552734
1544382035.5810032,29422.0,97.12000274658203
1544382042.8526173,29735.0,97.05000305175781
1544382050.1034458,30048.0,97.13999938964844
1544382057.4729125,30361.0,97.12000274658203
1544382064.7974524,30674.0,97.0999984741211
1544382072.1104722,30987.0,97.16000366210938
1544382079.4350047,31300.0,97.1500015258789
1544382086.7556498,31613.0,97.16000366210938
1544382094.087723,31926.0,97.18000030517578
1544382101.5074751,32239.0,97.0999984741211
1544382108.8056197,32552.0,97.16999816894531
1544382116.1664035,32865.0,97.33999633789062
1544382123.4944375,33178.0,97.20999908447266
1544382130.7178197,33491.0,97.2300033569336
1544382137.990223,33804.0,97.26000213623047
1544382145.1796796,34117.0,97.30999755859375
1544382152.4892793,34430.0,97.31999969482422
1544382159.8858187,34743.0,97.2699966430664
1544382167.1382344,35056.0,97.33000183105469
1544382174.4524546,35369.0,97.30999755859375
1544382181.770338,35682.0,97.23999786376953
1544382188.9879308,35995.0,97.33999633789062
1544382196.291563,36308.0,97.19999694824219
1544382203.6702254,36621.0,97.31999969482422
1544382210.9303117,36934.0,97.33999633789062
1544382218.4054573,37247.0,97.33999633789062
1544382225.6436992,37560.0,97.3499984741211
1544382232.8732042,37873.0,97.30999755859375
1544382240.1304855,38186.0,97.30999755859375
1544382247.4054513,38499.0,97.36000061035156
1544382255.0333676,38812.0,97.41000366210938
1544382262.6342747,39125.0,97.41000366210938
1544382269.8517113,39438.0,97.41000366210938
1544382277.0822718,39751.0,97.26000213623047
1544382284.4644608,40064.0,97.22000122070312
1544382291.8029163,40377.0,97.4000015258789
1544382299.1943536,40690.0,97.41000366210938
1544382306.4918387,41003.0,97.31999969482422
1544382313.749452,41316.0,97.47000122070312
1544382321.109798,41629.0,97.31999969482422
1544382328.4301672,41942.0,97.41000366210938
1544382335.747178,42255.0,97.43000030517578
1544382343.148531,42568.0,97.44999694824219
1544382350.535145,42881.0,97.5
1544382357.7320743,43194.0,97.33999633789062
1544382365.1240747,43507.0,97.4800033569336
1544382372.4020052,43820.0,97.4000015258789
1544382379.7806218,44133.0,97.5
1544382387.0967183,44446.0,97.43000030517578
1544382394.3891678,44759.0,97.37000274658203
1544382401.7285428,45072.0,97.51000213623047
1544382408.9816084,45385.0,97.44000244140625
1544382416.2717795,45698.0,97.44000244140625
1544382424.024035,46011.0,97.45999908447266
1544382431.2806964,46324.0,97.48999786376953
1544382438.5865448,46637.0,97.45999908447266
1544382445.8858156,46950.0,97.51000213623047
1544382453.1464949,47263.0,97.41999816894531
1544382460.483585,47576.0,97.44000244140625
1544382467.737988,47889.0,97.55999755859375
1544382475.1171157,48202.0,97.5
1544382482.503779,48515.0,97.56999969482422
1544382489.8037155,48828.0,97.41999816894531
1544382497.0465043,49141.0,97.56999969482422
1544382504.4181478,49454.0,97.54000091552734
1544382511.699301,49767.0,97.5
1544382519.0384402,50080.0,97.33999633789062
1544382526.280399,50393.0,97.47000122070312
1544382533.820868,50706.0,97.56999969482422
1544382541.0781507,51019.0,97.55999755859375
1544382548.44444,51332.0,97.51000213623047
1544382555.6939726,51645.0,97.5
1544382563.0488758,51958.0,97.56999969482422
1544382570.3858473,52271.0,97.56999969482422
1544382577.6328332,52584.0,97.5999984741211
1544382584.9018111,52897.0,97.62000274658203
1544382592.1322181,53210.0,97.62000274658203
1544382599.4005299,53523.0,97.62000274658203
1544382606.7673352,53836.0,97.62999725341797
1544382614.1840572,54149.0,97.66000366210938
1544382621.5861516,54462.0,97.55999755859375
1544382628.869292,54775.0,97.6500015258789
1544382636.1713705,55088.0,97.5199966430664
1544382643.578639,55401.0,97.63999938964844
