Wall time,Step,Value
1543876361.0235007,313.0,65.91000366210938
1543876373.7226102,626.0,79.04000091552734
1543876386.6225777,939.0,82.29000091552734
1543876399.6972992,1252.0,85.13999938964844
1543876412.926213,1565.0,87.08999633789062
1543876426.1521523,1878.0,88.3499984741211
1543876439.397243,2191.0,89.16000366210938
1543876452.6391726,2504.0,90.08999633789062
1543876466.0722587,2817.0,90.55999755859375
1543876479.7268915,3130.0,90.87000274658203
1543876493.7915268,3443.0,91.43000030517578
1543876507.7108078,3756.0,91.93000030517578
1543876521.3604093,4069.0,92.30999755859375
1543876534.637092,4382.0,92.58999633789062
1543876547.9798157,4695.0,92.87000274658203
1543876561.2874334,5008.0,93.02999877929688
1543876574.4540741,5321.0,93.41999816894531
1543876587.660642,5634.0,93.33000183105469
1543876600.8605971,5947.0,93.66000366210938
1543876613.9532607,6260.0,93.83999633789062
1543876627.2112694,6573.0,93.91999816894531
1543876640.4933395,6886.0,94.05000305175781
1543876654.2319193,7199.0,93.98999786376953
1543876668.2694063,7512.0,94.33000183105469
1543876681.7896957,7825.0,94.3499984741211
1543876694.9853663,8138.0,94.44000244140625
1543876708.2381468,8451.0,94.58999633789062
1543876721.404855,8764.0,94.56999969482422
1543876734.5262969,9077.0,94.62999725341797
1543876747.5935807,9390.0,94.80000305175781
1543876760.7695057,9703.0,94.79000091552734
1543876773.8834567,10016.0,94.87999725341797
1543876787.211303,10329.0,95.06999969482422
1543876800.9168231,10642.0,95.02999877929688
1543876814.948252,10955.0,95.05999755859375
1543876828.8793256,11268.0,95.08999633789062
1543876842.7213237,11581.0,95.19000244140625
1543876856.4074593,11894.0,95.22000122070312
1543876869.6054876,12207.0,95.33999633789062
1543876882.7512336,12520.0,95.25
1543876896.0402637,12833.0,95.3499984741211
1543876909.304869,13146.0,95.36000061035156
1543876922.6112542,13459.0,95.4800033569336
1543876935.871818,13772.0,95.56999969482422
1543876949.147402,14085.0,95.68000030517578
1543876962.3750727,14398.0,95.54000091552734
1543876975.593972,14711.0,95.73999786376953
1543876988.8991308,15024.0,95.66999816894531
1543877002.567667,15337.0,95.83999633789062
1543877016.482885,15650.0,95.8499984741211
1543877030.5032263,15963.0,95.95999908447266
1543877044.4913707,16276.0,95.9800033569336
1543877058.3435714,16589.0,95.97000122070312
1543877071.7508829,16902.0,96.04000091552734
1543877085.0959237,17215.0,96.0199966430664
1543877098.365278,17528.0,96.08000183105469
1543877111.7065604,17841.0,96.29000091552734
1543877124.9246988,18154.0,96.22000122070312
1543877138.220957,18467.0,96.06999969482422
1543877151.409218,18780.0,96.27999877929688
1543877164.6428277,19093.0,96.30000305175781
1543877177.930602,19406.0,96.30999755859375
1543877191.230426,19719.0,96.47000122070312
1543877204.84805,20032.0,96.43000030517578
1543877218.511049,20345.0,96.43000030517578
1543877232.5060782,20658.0,96.48999786376953
1543877246.3856754,20971.0,96.44999694824219
1543877259.72017,21284.0,96.47000122070312
1543877273.0543613,21597.0,96.54000091552734
